"prior","output"
"company said","today"
"company spokesman","said"
"company that","s"
"company the","company"
"company they","can"
"company to","make"
"company told","state"
"company was","forced"
"company which","will"
"compare the","two"
"compared his","shoe"
"compared to","$"
"compared with","$"
"compares with","$"
"compassion and","love"
"compatible sound","card"
"compelled to","write"
"competition in","january"
"competition inflatable","rides"
"competition is","fierce"
"competition this","weekend"
"competitors don","t"
"compile a","list"
"compiled a","list"
"compiling a","list"
"complaining about","twitter"
"complaining i","m"
"complaining it","means"
"complaining of","stomach"
"complaints about","people"
"complement one","another"
"complete and","total"
"complete scouting","services"
"complete sets","levels"
"complete skill","set"
"complete the","first"
"complete turn","around"
"completed a","$"
"completed in","july"
"completed our","work"
"completed the","hop"
"completely agree","rt"
"completely and","utterly"
"completely by","surprise"
"completely different","direction"
"completely i","will"
"completing a","project"
"completing her","first"
"complex challenge","requiring"
"complex i","m"
"complex it","s"
"complex problem","said"
"complexity and","depth"
"complicate my","life"
"complicated he","said"
"compliment i","can"
"comply with","state"
"composer /","lyricist"
"composite index","rose"
"comprehensive immigration","reform"
"compressed natural","gas"
"comptroller john","liu"
"computer history","museum"
"computer i","m"
"computer is","going"
"computer it","s"
"computer screen","can"
"computer several","times"
"computers and","electronics"
"computers in","libraries"
"conan o","brien"
"concealed carry","permit"
"conceived the","idea"
"concept of","“"
"concept that","works"
"concerned citizens","can"
"concerned i","m"
"concerned they","re"
"concerning the","use"
"concerns about","europe"
"concert and","meet"
"concert even","though"
"concert i","ve"
"concert in","nyc"
"concert last","night"
"concert some","fans"
"concert this","summer"
"concert was","canceled"
"concert win","tickets"
"concert with","lots"
"concerto no","1"
"concluded last","year"
"condemned the","property"
"condition of","anonymity"
"condition that","can"
"condition which","can"
"conditions can","make"
"conditions he","said"
"conditions of","employment"
"conditions that","led"
"conduct a","thorough"
"conducted a","thorough"
"conducted with","lane"
"conducting an","investigation"
"coney island","s"
"conf and","intl"
"confederation s","women"
"conference call","thursday"
"conference girls","basketball"
"conference i","m"
"conference in","october"
"conference looking","forward"
"conference of","women"
"conference on","july"
"conference playoff","series"
"conference semifinal","series"
"conference the","university"
"conference this","week"
"conference to","say"
"conferon global","services"
"confess i","m"
"confession to","make"
"confidence in","one"
"confidence is","key"
"confident i","can"
"confident the","study"
"confident we","ll"
"confined to","africa"
"confirm the","identity"
"confirmed can","t"
"conflict of","interest"
"conflicts of","interest"
"conflicts with","federal"
"conform to","stereotype"
"confrontation took","place"
"confused he","asked"
"confused i","know"
"confusing for","example"
"confusion and","anger"
"congestive heart","failure"
"congrats and","hugs"
"congrats good","luck"
"congrats i","m"
"congrats just","heard"
"congrats octavia","spencer"
"congrats on","getting"
"congrats that","s"
"congrats to","u"
"congrats you","know"
"congratulations and","welcome"
"congratulations i","m"
"congratulations on","graduating"
"congratulations rt","just"
"congratulations so","proud"
"congratulations that","s"
"congratulations to","drew"
"congratulations you","ll"
"congress doesn","t"
"congress gershwin","prize"
"congress to","take"
"congress will","pass"
"congress won","t"
"congressional black","caucus"
"congressional budget","office"
"congressional district","includes"
"congressional term","limits"
"congresswoman marcia","fudge"
"connect and","learn"
"connect the","dots"
"connect w","/"
"connect with","people"
"connected on","linkedin"
"connected the","dots"
"connected to","everything"
"connecting service","change"
"connecting the","dots"
"connection for","sure"
"connection i","received"
"connection there","s"
"consecutive state","title"
"consensus no","1"
"conservancy this","holiday"
"conservative and","less"
"conservative national","action"
"conservative talk","radio"
"conservative think","tank"
"conservatory of","music"
"consider it","done"
"consider the","best"
"consider what","s"
"considered a","national"
"considered by","many"
"considered so","dangerous"
"considered the","option"
"considered to","play"
"considering a","bill"
"considering how","much"
"considering it","s"
"considering the","circumstances"
"conspiracy to","commit"
"constitute a","successful"
"construction and","renovation"
"construction it","s"
"construction of","apartments"
"construction right","now"
"construction will","take"
"consulate in","santo"
"consult your","doctor"
"consultant julius","henson"
"consumer bankruptcy","attorneys"
"consumer finance","watchdog"
"consumer financial","protection"
"consumer health","products"
"consumer price","index"
"consumers and","businesses"
"consumers are","spending"
"consumers in","2008"
"consumers to","buy"
"consumption of","alcohol"
"contact info","thank"
"contact me","asap"
"contact the","library"
"contact with","one"
"contact you","regarding"
"contacted an","attorney"
"contacted the","company"
"contain as","much"
"container to","put"
"contamination giving","state"
"contemporary art","museum"
"contemporary family","services"
"contemporary jewish","museum"
"contempt of","court"
"content i","m"
"content is","provided"
"content it","s"
"content that","appears"
"contest &","fundraiser"
"contest announced","quad"
"contest friday","club"
"contest it","s"
"contest to","get"
"contest w","/"
"contestant who","typically"
"context of","course"
"continental and","united"
"continental holdings","inc"
"continental s","hub"
"continue as","well"
"continue for","months"
"continue his","campaign"
"continue i","don"
"continue the","discussion"
"continue there","s"
"continue to","grow"
"continued at","home"
"continued next","tweet"
"continued on","friday"
"continued to","work"
"continues to","grow"
"continuing the","conversation"
"continuing this","blog"
"continuing to","support"
"continuum of","soft"
"contract based","plans"
"contract expires","next"
"contract for","next"
"contract of","carriage"
"contract to","hire"
"contract with","fox"
"contract won","t"
"contractors fishers","eifs"
"contracts he","said"
"contrary to","popular"
"contribute right","away"
"contribute to","society"
"control 1","/"
"control and","prevention"
"control he","said"
"control i","m"
"control it","s"
"control their","thoughts"
"control what","goes"
"control you","can"
"controlled by","private"
"controlled dangerous","substance"
"controlled the","first"
"controls on","food"
"convenient for","people"
"convention and","deviation"
"convention booking","firm"
"convention center","beneath"
"convention in","denver"
"convention last","month"
"convention romney","said"
"conversation i","m"
"conversation last","night"
"conversation that","s"
"conversation with","lol"
"conversations i","can"
"converted to","cash"
"converts to","catholicism"
"convey or","lease"
"convicted and","sentenced"
"convicted in","2008"
"convicted of","child"
"convicted sex","offender"
"convince the","world"
"convo w","/"
"cook and","clean"
"cook county","state"
"cook for","20"
"cook on","low"
"cook over","medium"
"cook pig","heart"
"cook s","illustrated"
"cook stirring","occasionally"
"cooked for","us"
"cookies you","can"
"cooking and","cleaning"
"cooking oil","spray"
"cooking you","can"
"cool and","fun"
"cool as","hell"
"cool can","t"
"cool good","morning"
"cool he","s"
"cool i","ll"
"cool idea","let"
"cool it","s"
"cool let","s"
"cool looks","like"
"cool morning","3"
"cool never","heard"
"cool on","wire"
"cool ranch","doritos"
"cool story","bro"
"cool that","s"
"cool things","like"
"cool to","see"
"cool w","/"
"cool we","ll"
"cool you","re"
"cooler profile","pic"
"cooper road","trail"
"cooperate in","building"
"cooperstown n","y"
"coordinator brian","schottenheimer"
"coordinator danny","langsdorf"
"coordinator gregg","williams"
"coordinator kevin","gilbride"
"coordinator nick","aliotti"
"coordinator tom","bradley"
"cope with","daily"
"coped very","well"
"copy and","paste"
"copy it","s"
"copy of","catching"
"copy on","amazon"
"copyright infringement","thank"
"coq au","vin"
"cor 2","14"
"corden a","gift"
"cordis s","infringement"
"cords of","wood"
"cored and","cut"
"coretta scott","king"
"corinthians 10","13"
"corkage fee","$"
"corn and","beans"
"corner and","get"
"corner com","/"
"corner of","michigan"
"cornerback lardarius","webb"
"cornerback morris","claiborne"
"corona del","mar"
"coroner s","office"
"corporate college","east"
"corporate income","taxes"
"corporate tax","loopholes"
"corporations are","people"
"corporations government","agencies"
"corps de","ballet"
"corps of","engineers"
"correct i","want"
"correct in","every"
"correct to","say"
"correctly i","m"
"corrie ten","boom"
"corrupt practices","act"
"corruption and","money"
"corruption related","crimes"
"corzine in","2009"
"cos i","m"
"cos it","s"
"cost $","10"
"cost a","lot"
"cost about","$"
"cost as","much"
"cost between","$"
"cost is","$"
"cost of","living"
"cost only","$"
"cost the","state"
"cost too","much"
"cost you","$"
"costing me","$"
"costing the","country"
"costs $","1"
"costs a","lot"
"costs about","$"
"costs and","benefits"
"costs as","well"
"costs from","$"
"costs he","said"
"costs is","critical"
"costs it","s"
"costs of","weddings"
"costs the","state"
"costume she","s"
"couch i","m"
"couch the","first"
"cough *","*"
"cough cough","*"
"coughed and","coughed"
"could almost","hear"
"could also","call"
"could always","start"
"could at","least"
"could barely","sleep"
"could be","used"
"could care","less"
"could cause","problems"
"could certainly","use"
"could cost","$"
"could create","one"
"could do","anything"
"could even","start"
"could ever","imagine"
"could face","even"
"could feel","better"
"could get","used"
"could go","back"
"could have","done"
"could he","sit"
"could help","improve"
"could i","get"
"could it","possibly"
"could join","us"
"could just","buy"
"could meet","anyone"
"could never","say"
"could no","longer"
"could not","find"
"could only","think"
"could play","another"
"could possibly","need"
"could probably","get"
"could really","use"
"could save","$"
"could see","people"
"could spend","one"
"could stay","happy"
"could still","hear"
"could take","years"
"could this","mean"
"could turn","back"
"could u","give"
"could ve","gone"
"could very","well"
"could you","please"
"couldn t","get"
"couldn ?","t"
"council has","approved"
"council is","scheduled"
"council member","steve"
"council members","will"
"council of","trustees"
"council on","foreign"
"council president","barbara"
"council seats","include"
"councilman dale","miller"
"councilman kwame","kenyatta"
"councilman mike","polensek"
"councilman richard","alarcon"
"councilman ron","rice"
"councilor dai","bingguo"
"count as","work"
"count for","something"
"count how","many"
"count of","aggravated"
"count the","number"
"count you","know"
"count your","blessings"
"countdown is","officially"
"counties in","new"
"counting the","hours"
"countries like","italy"
"countries that","use"
"country and","even"
"country can","t"
"country club","hills"
"country he","said"
"country is","going"
"country it","s"
"country music","artist"
"country new","york"
"country of","masembura"
"country s","largest"
"country that","can"
"country time","lemonade"
"country to","take"
"country we","re"
"country would","hurt"
"country you","need"
"counts of","attempted"
"county administration","building"
"county and","municipal"
"county animal","control"
"county auditor","frank"
"county board","president"
"county children","s"
"county circuit","court"
"county commissioner","jimmy"
"county common","pleas"
"county community","college"
"county coroner","s"
"county council","approved"
"county democratic","party"
"county detention","center"
"county district","attorney"
"county economic","development"
"county elections","division"
"county engineer","s"
"county executive","charlie"
"county for","$"
"county freeholder","donald"
"county grand","jury"
"county has","gone"
"county health","department"
"county high","school"
"county it","s"
"county judge","ruled"
"county juvenile","court"
"county land","reutilization"
"county major","crimes"
"county medical","examiner"
"county officials","say"
"county on","suspicion"
"county police","chief"
"county prosecuting","attorney"
"county prosecutor","s"
"county prosecutors","say"
"county public","defender"
"county records","list"
"county republican","party"
"county s","department"
"county sales","tax"
"county school","board"
"county sheriff","s"
"county state","s"
"county superior","court"
"county the","county"
"county to","make"
"county was","elected"
"county which","includes"
"county will","pay"
"county —","essex"
"coup d","etat"
"couple days","ago"
"couple is","highly"
"couple months","ago"
"couple more","weeks"
"couple of","weeks"
"couple s","daughter"
"couple weeks","ago"
"couple years","ago"
"couple yrs","ago"
"couples and","families"
"coupon code","62ytrfcv"
"coupons for","free"
"courage doesn","t"
"courage to","change"
"course <","3"
"course as","always"
"course can","t"
"course doesn","t"
"course he","s"
"course here","s"
"course i","m"
"course it","s"
"course let","s"
"course my","son"
"course of","action"
"course that","s"
"course the","weather"
"course there","s"
"course they","will"
"course we","re"
"course welcome","home"
"course won","t"
"course you","can"
"court and","will"
"court by","former"
"court document","filed"
"court documents","say"
"court has","ruled"
"court he","said"
"court i","ve"
"court in","newark"
"court judge","patricia"
"court of","appeals"
"court on","friday"
"court papers","filed"
"court records","show"
"court s","ruling"
"court that","s"
"court to","marry"
"court was","elected"
"courthouse in","toms"
"cousin ellen","s"
"cousin i","m"
"cousins can","get"
"couture eye","studio"
"cover <","3"
"cover a","song"
"cover all","night"
"cover and","cook"
"cover i","will"
"cover my","face"
"cover the","costs"
"cover to","cover"
"cover with","foil"
"coverage i","m"
"covered by","state"
"covered espresso","beans"
"covered in","blankets"
"covered it","s"
"covered the","top"
"covered to","hide"
"covers a","lot"
"covers i","just"
"cow s","milk"
"cowell and","abdul"
"coworker s","daughter"
"crack it","open"
"crack the","eggs"
"cracking the","code"
"craft and","folk"
"craft beer","week"
"craft that","can"
"craig robinson","said"
"craig s","role"
"craig whyte","last"
"crap crap","crap"
"crap i","m"
"crap it","s"
"crap that","s"
"crash and","burn"
"crash i","can"
"crash in","new"
"crash that","killed"
"crash w","/"
"crashed and","burned"
"crate and","barrel"
"craving a","good"
"crawl into","bed"
"crazy ass","dream"
"crazy but","heres"
"crazy don","t"
"crazy i","m"
"crazy it","s"
"crazy or","nuts"
"crazy republican","prince"
"crazy right","now"
"crazy stupid","love"
"crazy to","think"
"crazy we","re"
"crazy you","don"
"cream and","fresh"
"cream cheese","frosting"
"cream i","m"
"cream maker","according"
"cream of","tartar"
"cream on","top"
"cream that","will"
"cream the","butter"
"cream to","make"
"creams and","one"
"creamy horseradish","sauce"
"create a","card"
"create an","environment"
"create monster","children"
"create more","jobs"
"create so","much"
"create the","fact"
"created a","new"
"created an","online"
"created and","run"
"created by","one"
"created some","wonderful"
"created to","help"
"creates a","lot"
"creates an","opportunity"
"creating a","new"
"creating an","environment"
"creating new","records"
"creating our","first"
"creation of","new"
"creation on","twitter"
"creative juices","going"
"creativity is","allowing"
"creativity isn","t"
"credibly accused","priests"
"credit card","debt"
"credit cards","accepted"
"credit for","time"
"credit i","m"
"credit reporting","agency"
"credit this","year"
"creedence clearwater","revival"
"creek drive","milwaukie"
"crepes with","apple"
"crested butte","mountain"
"crew can","t"
"crews are","working"
"crews will","continue"
"cricket updates","live"
"cricket world","cup"
"cricut i","love"
"cried a","little"
"cried and","laughed"
"cried my","eyes"
"crime and","justice"
"crime of","incitement"
"crimes against","humanity"
"criminal background","check"
"criminal charges","will"
"criminal defense","attorney"
"criminal justice","system"
"crippled for","life"
"crisis isn","t"
"crisis last","year"
"crisis of","2008"
"critic s","score"
"critic stephen","whitty"
"critical but","stable"
"critical city","services"
"critical thinking","skills"
"critical to","success"
"criticism at","home"
"criticized anyway","eleanor"
"criticizing the","former"
"critics who","say"
"critique of","islam"
"cross and","resurrection"
"cross auto","update"
"cross country","championships"
"cross like","mark"
"cross my","fingers"
"cross of","jesus"
"cross party","lines"
"cross the","street"
"cross your","fingers"
"crossed for","good"
"crossed his","mind"
"crossed the","line"
"crossed your","mind"
"crossing my","fingers"
"crossing the","street"
"crowd goes","wild"
"crowd of","40"
"crowded the","streets"
"crowds of","people"
"crown of","thorns"
"crowned prince","&"
"crowns of","hay"
"crude and","sexual"
"cruel and","unusual"
"cruisers for","2012"
"crushed red","pepper"
"crushed tortilla","chips"
"crust from","forming"
"crust is","golden"
"cry a","little"
"cry every","time"
"cry for","help"
"cry i","made"
"cry show","life"
"cry the","tears"
"cryan d","union"
"crying all","night"
"crying and","upset"
"crying doesn","t"
"crying in","baseball"
"crying it","s"
"crying so","bad"
"crystal cathedral","board"
"crystal clear","blue"
"ct $","182"
"ct show","8"
"cuatro de","mayo"
"cuba can","remain"
"cuban missile","crisis"
"cubic expression","company"
"cubs and","sox"
"cuckoo s","nest"
"cuddly toy","moon"
"cuento chino","”"
"cuisine at","home"
"cul de","sac"
"cultivated it","will"
"cultural arts","centre"
"cultural center","chicago"
"culture &","humanities"
"culture and","history"
"culture i","m"
"culture is","strong"
"culture of","dependency"
"culture that","s"
"cumberland and","gloucester"
"cumberland county","jail"
"cunningham new","york"
"cup and","fill"
"cup at","25"
"cup brown","sugar"
"cup finely","chopped"
"cup i","wish"
"cup last","year"
"cup of","coffee"
"cup quarter","final"
"cup reduced","fat"
"cup this","year"
"cup whole","wheat"
"cups 10","58"
"cups i","m"
"cups of","coffee"
"cups whole","milk"
"curb your","enthusiasm"
"cure the","disease"
"curious it","s"
"curious theatre","company"
"curious to","see"
"curl and","uncurl"
"curren $","y"
"current and","former"
"current city","council"
"current contract","expires"
"current economic","climate"
"current fiscal","year"
"current supreme","court"
"currently at","0"
"currently in","place"
"currently seeking","vendors"
"cus i","m"
"custody bankruptcy","evictions"
"custody of","detainees"
"custom and","micro"
"custom fangs","&"
"custom t","shirts"
"custom white","balance"
"customer appreciation","day"
"customer area","now"
"customer for","years"
"customer i","ve"
"customer service","call"
"customers and","employees"
"customers don","t"
"customers every","hour"
"customers he","said"
"customers it","s"
"customers to","purchase"
"customers who","need"
"customers without","power"
"customs and","border"
"customs enforcement","ice"
"cut 2","hearts"
"cut a","deal"
"cut and","paste"
"cut at","3"
"cut for","workers"
"cut he","said"
"cut his","hair"
"cut i","m"
"cut in","half"
"cut into","1"
"cut it","short"
"cut my","hair"
"cut out","3"
"cut spending","sharply"
"cut sweet","potato"
"cut the","deficit"
"cut your","hair"
"cute <","3"
"cute and","cuddly"
"cute i","m"
"cute it","s"
"cute love","u"
"cute you","guys"
"cutest couple","ever"
"cutest guy","ever"
"cutest thing","ever"
"cuts both","ways"
"cuts in","spending"
"cuts of","beef"
"cuts to","medicare"
"cutting a","deal"
"cutting and","pasting"
"cutting my","hair"
"cutting the","grass"
"cuyahoga community","college"
"cuyahoga county","common"
"cuyahoga valley","national"
"cuz he","s"
"cuz i","m"
"cuz it","s"
"cuz that","s"
"cuz there","s"
"cuz u","think"
"cuz we","re"
"cuz you","know"
"cvs ralph","s"
"cy young","award"
"cybils ya","fiction"
"cycle of","poverty"
"cycles per","second"
"cyndi lauper","s"
"d &","d"
"d *","ck"
"d <","3"
"d a","davidson"
"d actually","like"
"d also","like"
"d andre","lane"
"d be","happy"
"d been","back"
"d better","get"
"d c","united"
"d come","back"
"d d","d"
"d do","something"
"d don","t"
"d get","excited"
"d gloucester","“"
"d go","crazy"
"d h","lawrence"
"d had","enough"
"d haha","thanks"
"d happy","birthday"
"d have","trouble"
"d he","s"
"d here","s"
"d i","m"
"d ii","/"
"d iii","/"
"d in","order"
"d it","s"
"d iv","/"
"d ix","/"
"d j","s"
"d just","stay"
"d let","s"
"d look","like"
"d los","angeles"
"d luv","2"
"d much","rather"
"d n","j"
"d never","heard"
"d onofrio","argued"
"d please","follow"
"d probably","keep"
"d quick","topcoat"
"d r","1"
"d rather","go"
"d really","like"
"d rockefeller","iv"
"d rt","got"
"d run","away"
"d s","car"
"d san","diego"
"d send","us"
"d st","louis"
"d still","like"
"d v","/"
"d viii","/"
"d we","re"
"d x","/"
"d xi","/"
"d xii","/"
"d you","get"
"da ali","g"
"da da","da"
"da s","office"
"da vinci","code"
"dad and","bill"
"dad didn","t"
"dad doesn","t"
"dad i","m"
"dad is","sick"
"dad isn","t"
"dad passed","away"
"dad s","best"
"dad that","s"
"dad was","dying"
"dad with","us"
"daddy nose","best"
"daddy that","s"
"daily bread","designs"
"daily gtky","question"
"daily i","can"
"daily in","addition"
"daily income","fund"
"daily law","bulletin"
"daily menu","service"
"daily record","hickory"
"dakota in","1921"
"dalai lama","s"
"dales an","economist"
"dallas /","ft"
"dallas holocaust","museum"
"dallas it","s"
"dallas morning","news"
"dam and","reservoir"
"dame de","namur"
"damn good","night"
"damn i","m"
"damn it","feels"
"damn right","thanks"
"damn that","s"
"damn they","re"
"damper on","things"
"damsel in","distress"
"damsels in","distress"
"dan le","batard"
"dan marino","s"
"dan patrick","s"
"dance <","3"
"dance and","sing"
"dance dance","dance"
"dance gavin","dance"
"dance i","m"
"dance no","matter"
"dance with","somebody"
"danced the","night"
"dancing and","listening"
"dancing i","m"
"dancing last","night"
"dancing w","/"
"dancing with","n"
"dang i","wish"
"danger of","missing"
"dangerous than","sincere"
"dangled in","front"
"daniel day","lewis"
"daniel s","brain"
"daniels seven","time"
"dare i","say"
"dare to","dream"
"daring to","suggest"
"dark and","white"
"dark chocolate","cake"
"dark i","m"
"dark it","s"
"dark knight","rises"
"dark soy","sauce"
"darkness it","s"
"darling it","s"
"darrell issa","r"
"darrell steinberg","d"
"dash in","4"
"dash of","cinnamon"
"data and","make"
"data i","m"
"data recovery","services"
"data released","thursday"
"data sales","related"
"date <","3"
"date and","location"
"date i","ll"
"date is","now"
"date it","s"
"date night","thanks"
"date of","birth"
"date on","saturday"
"date rape","drug"
"date the","state"
"dating a","swimmer"
"dating someone","39"
"dating to","last"
"daughter and","son"
"daughter couldn","t"
"daughter didn","t"
"daughter i","?"
"daughter in","law"
"daughter is","taking"
"daughter s","school"
"daughter who","lives"
"dave and","busters"
"david allan","coe"
"david and","jane"
"david cameron","s"
"david cronenberg","s"
"david eisenhauer","said"
"david foster","wallace"
"david freese","s"
"david have","mercy"
"david lee","roth"
"david mamet","s"
"david s","bridal"
"david we","re"
"davis and","jeff"
"dawn of","time"
"dawn to","dusk"
"day &","thanks"
"day /","week"
"day 2","come"
"day 3","/"
"day 365","days"
"day 4","without"
"day 5","days"
"day 7","days"
"day <","3"
"day ^","^"
"day a","week"
"day after","thanksgiving"
"day all","night"
"day and","night"
"day as","well"
"day at","work"
"day be","without"
"day best","tweet"
"day but","neither"
"day by","day"
"day can","t"
"day cant","wait"
"day care","center"
"day chicken","pastina"
"day didn","t"
"day disabled","list"
"day doesn","t"
"day don","t"
"day draws","near"
"day even","better"
"day event","today"
"day every","day"
"day follow","back"
"day for","us"
"day get","ready"
"day gets","better"
"day giving","thanks"
"day good","luck"
"day got","away"
"day great","day"
"day happy","birthday"
"day has","come"
"day he","said"
"day hell","yeah"
"day here","s"
"day hope","everyone"
"day how","many"
"day i","m"
"day im","feeling"
"day in","san"
"day is","going"
"day it","s"
"day just","like"
"day last","month"
"day let","s"
"day looks","like"
"day make","sure"
"day my","life"
"day next","year"
"day night","doubleheader"
"day no","matter"
"day now","im"
"day of","school"
"day off","right"
"day on","saturday"
"day one","day"
"day or","two"
"day please","follow"
"day race","tomorrow"
"day right","now"
"day s","end"
"day she","said"
"day shouldn","t"
"day so","far"
"day social","media"
"day thank","god"
"day that","s"
"day the","world"
"day there","s"
"day they","re"
"day this","year"
"day tickets","range"
"day to","day"
"day today","getting"
"day too","bad"
"day w","/"
"day wait","wait"
"day was","ok"
"day we","re"
"day weekend","everyone"
"day what","s"
"day when","u"
"day who","s"
"day with","&"
"day without","sunshine"
"day woo","hoo"
"day yesterday","–"
"day you","can"
"day your","masterpiece"
"day –","“"
"daylight saving","time"
"daylight savings","time"
"days /","weeks"
"days <","3"
"days a","week"
"days and","nights"
"days are","gone"
"days as","well"
"days at","home"
"days before","christmas"
"days can","t"
"days don","t"
"days for","golden"
"days from","now"
"days grow","shorter"
"days he","said"
"days how","many"
"days i","m"
"days if","u"
"days in","jail"
"days isn","t"
"days it","s"
"days like","today"
"days looking","forward"
"days of","summer"
"days or","weeks"
"days per","week"
"days right","now"
"days stay","tuned"
"days that","s"
"days the","company"
"days this","week"
"days till","graduation"
"days to","go"
"days u","can"
"days until","christmas"
"days we","ll"
"days were","numbered"
"days what","s"
"days where","everything"
"daytime phone","number"
"dazed and","confused"
"dc all","day"
"dc around","join"
"dc ch","1"
"dc cluster","ch"
"dc ds","m"
"dc in","next"
"dc it","s"
"dcru dt","blog"
"dd i","love"
"dd that","s"
"de /","olb"
"de amazon","fr"
"de anthony","thomas"
"de facto","leader"
"de la","torre"
"de los","caballeros"
"de mayo","fiesta"
"de mi","padre"
"de palma","s"
"de san","diego"
"de urguary","paraguay"
"dead and","gone"
"dead at","age"
"dead baby","bird"
"dead but","can"
"dead headshot","depository"
"dead i","m"
"dead it","s"
"dead of","night"
"dead on","arrival"
"dead or","alive"
"dead sea","scrolls"
"dead serious","man"
"dead so","sad"
"dead that","s"
"dead we","ll"
"dead what","s"
"dead you","don"
"deadline for","submitting"
"deadline i","m"
"deaf and","hard"
"deaf in","one"
"deal he","said"
"deal how","many"
"deal i","m"
"deal it","s"
"deal of","time"
"deal or","even"
"deal to","avoid"
"deal w","/"
"deal was","made"
"deal with","people"
"dealer reporter","stan"
"dealer washington","bureau"
"dealing w","/"
"dealing with","post"
"dear ex","just"
"dear i","m"
"dear if","u"
"dear lil","sis"
"dear mr","dad"
"dear you","re"
"death and","resurrection"
"death at","age"
"death i","m"
"death in","2006"
"death is","still"
"death isn","t"
"death it","s"
"death of","one"
"death race","2"
"death the","side"
"death to","make"
"death was","ruled"
"deathly hallows","pt"
"deaths and","injuries"
"debate about","whether"
"debate on","whether"
"debate over","whether"
"debating on","whether"
"debbie wasserman","schultz"
"debit card","fees"
"deborah s","palm"
"debt crisis","isn"
"debt of","$"
"debt that","s"
"debts of","9"
"debunk the","finding"
"debuting under","sm"
"dec 22","jan"
"decade it","s"
"decade of","war"
"decade old","history"
"decade or","two"
"decade the","city"
"decades it","s"
"decades of","conflict"
"december 2009","game"
"december 2011","issue"
"december and","january"
"december of","1979"
"december through","february"
"deceptive and","misleading"
"decide i","m"
"decide it","s"
"decide next","week"
"decide the","issue"
"decide to","make"
"decide what","s"
"decide which","one"
"decided by","one"
"decided he","wanted"
"decided i","m"
"decided it","s"
"decided that","one"
"decided they","wanted"
"decided to","make"
"decides to","use"
"deciding to","go"
"decision hasn","t"
"decision i","made"
"decision is","made"
"decision it","s"
"decision last","year"
"decision making","process"
"decision on","whether"
"decision to","make"
"decision was","made"
"decision we","can"
"decisions are","made"
"decisions decisions","decisions"
"decisions every","day"
"decisions i","ve"
"decisions it","s"
"decisions to","make"
"deck of","cards"
"deck the","halls"
"declaration of","independence"
"decline in","april"
"declined an","invitation"
"declined to","comment"
"declutter your","home"
"decorating the","house"
"dedicated to","improving"
"deep blue","sea"
"deep down","inside"
"deep i","ve"
"deep sigh","*"
"deep to","get"
"deep vein","thrombosis"
"deeper and","deeper"
"deeply and","thoroughly"
"deepwater horizon","rig"
"deerfield classic","include"
"def a","good"
"def follow","u"
"default aspx","tabid"
"defeat president","barack"
"defend the","constitution"
"defendant anthony","sowell"
"defended the","government"
"defender s","office"
"defending missouri","class"
"defense allowing","just"
"defense attorney","specializing"
"defense attorneys","say"
"defense i","ve"
"defense it","s"
"defense lawyers","said"
"defense nuclear","facilities"
"defense of","marriage"
"defense official","said"
"defense secretary","robert"
"defense we","re"
"defenseman drew","doughty"
"defensive coordinator","nick"
"defensive end","brandon"
"defensive tackle","marvin"
"defensive tackles","ty"
"defiance of","u"
"deficit of","$"
"deficit to","win"
"defined benefit","pensions"
"defined to","include"
"definitely a","big"
"definitely be","back"
"definitely can","t"
"definitely coming","back"
"definitely don","t"
"definitely going","back"
"definitely isn","t"
"definitely my","favorite"
"definitely not","one"
"definitely should","ve"
"definitely the","best"
"definitely wasn","t"
"definitely won","t"
"definitely worth","checking"
"definition of","marriage"
"deflect as","much"
"deglaze the","pan"
"degree child","endangerment"
"degree from","harvard"
"degree in","business"
"degree murder","charges"
"degree of","hope"
"degrees and","sunny"
"degrees below","zero"
"degrees here","today"
"degrees of","accuracy"
"degrees out","today"
"dekalb public","library"
"del negro","said"
"del paso","heights"
"delay of","game"
"delegates at","stake"
"deleted and","blocked"
"deleted my","instagram"
"delicious and","beautiful"
"delicious homemade","cherry"
"delicious snack","ideas"
"delighted to","hear"
"deliver the","best"
"delivering ?","high"
"delivery of","services"
"della fave","said"
"delta air","lines"
"deltona died","sunday"
"delusions of","grandeur"
"demand for","oil"
"demand he","said"
"demands of","family"
"democrat and","former"
"democrat controlled","legislature"
"democrat dennis","kucinich"
"democrat who","voted"
"democratic and","republican"
"democratic candidates","running"
"democratic controlled","senate"
"democratic gov","ted"
"democratic incumbent","gov"
"democratic national","committee"
"democratic party","chairman"
"democratic president","barack"
"democratic u","s"
"democratically elected","congress"
"democrats and","republicans"
"democrats are","seeking"
"democrats dennis","kucinich"
"demolish the","building"
"denied any","wrongdoing"
"dennis the","menace"
"denny s","restaurant"
"dental x","rays"
"dentist s","office"
"dentistry of","new"
"denver 9","30"
"denver don","t"
"denver it","s"
"denver metro","area"
"denver zombie","crawl"
"department and","spoke"
"department at","201"
"department has","received"
"department in","washington"
"department it","s"
"department of","education"
"department s","policies"
"department said","thursday"
"department spokesman","said"
"department store","chain"
"department would","see"
"departures salon","series"
"depaul health","center"
"depend in","large"
"dependence on","foreign"
"depending on","whether"
"depends on","whether"
"deposit insurance","corp"
"depp and","tim"
"depressed i","don"
"depressed it","s"
"depression and","anxiety"
"depression for","example"
"depth and","breadth"
"depth on","defense"
"depth you","can"
"deputy city","attorney"
"deputy district","attorney"
"deputy executive","director"
"deputy foreign","minister"
"deputy u","s"
